brand,name,price,ingredients
American Crew,acumen-firm-hold-grooming-cream,$278,"['Aqua/Water/Eau', ' VP/VA Copolymer', ' Cetearyl Alcohol', ' Lanolin Cera/Lanolin Wax/Cire De Lanoline', ' Parfum (Fragrance)', ' Behentrimonium Methosulfate', ' Laureth-23', ' Caprylic/Capric Triglyceride', ' Citric Acid', ' Glycerin', ' Hydroxypropyl Guar Hydroxypropyltrimonium Chloride', ' PEG-8 Beeswax', ' PPG-10 Methyl Glucose Ether', ' Panthenol', ' Polyquaternium-11', ' Tetrasodium EDTA', ' Tocopheryl Acetate', ' Vaccinium Macrocarpon (Cranberry) Fruit Juice', ' Citronellol', ' Coumarin', ' Limonene', ' Linalool', ' Methylparaben', ' Phenoxyethanol']"
American Crew,alternator-finishing-spray,$16.50,"['Alcohol Denat.', ' Aqua (Water (Eau))', ' PEG-32', ' Alcohol', ' PEG-6', ' Dimethyl Acrylamide/Hydroxyethyl Acrylate/Methoxyethyl Acrylate Copolymer', ' AMP-Acrylates/C1-18 Alkyl Acrylate/C1-8 Alkyl Acrylamide Copolymer', ' Butylene Glycol', ' Citric Acid', ' Parfum (Fragrance)', ' Linalool', ' Limonene', ' Hexyl Cinnamal', ' Benzyl Salicylate', ' Alpha-Isomethyl Ionone', ' Citronellol', ' Hydroxycitronellal', ' Geraniol.']"
American Crew,boost-powder,$18.50,"['Aqua/Water/Eau', ' Propylene Glycol', ' Silica Silylate', ' Citric Acid', ' Sodium Benzoate.']"
American Crew,cream-pomade,$19.50,"['Aqua/Water/Eau', ' Lanolin', ' Cetyl Alcohol', ' Glyceryl Stearate', ' PEG-100 Stearate', ' Stearic Acid', ' VP/VA Copolymer', ' PEG/PPG-17/18 Dimethicone', ' Potassium Cetyl Phosphate', ' Panthenol', ' Parfum (Fragrance)', ' Benzyl Alcohol', ' Limonene', ' Citronellol', ' Geraniol', ' Linalool', ' Phenoxyethanol', ' Methylparaben', ' Ethylparaben. F00141.']"
American Crew,defining-paste,$19.50,"['Aqua/Water/Eau', ' Lanolin Cera (Lanolin Wax (Cire De Lanoline))', ' Cetearyl Alcohol', ' Glycerin', ' Tribehenin', ' Cera Alba (Beeswax (Cire D’abeille))', ' Tridecyl Stearate', ' Ceteareth25', ' Tridecyl Trimellitate', ' Alcohol Denat.', ' VP/VA Copolymer', ' Dipentaerythrityl Hexacaprylate/Hexacaprate', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Melaleuca Alternifolia (Tea Tree) Leaf Oil', ' Triethanolamine', ' Tetrasodium EDTA', ' Salvia Hispanica Seed Extract', ' Echinacea Angustifolia Extract', ' Chondrus Crispus Extract', ' Camellia Sinensis Leaf Extract', ' Urtica Dioica (Nettle) Extract', ' Sambucus Nigra Flower Extract', ' Benzophenone-3', ' Parfum (Fragrance)', ' Benzyl Benzoate', ' Benzyl Salicylate', ' Limonene', ' Linalool', ' Alpha-Isomethyl Ionone', ' Eugenol', ' Citral', ' Phenoxyethanol', ' Methylparaben', ' Ethylparaben', ' Bentonite', ' Mica', ' Titanium Dioxide (CI 77891)', ' Iron Oxides (CI 77491).']"
American Crew,deluxe-grooming-kit,$39.95,"['Daily Shampoo: Aqua/Water/Eau', ' Sodium Laureth Sulfate', ' Lauryl Glucoside', ' Isostearamide MIPA', ' Cocamidopropyl Betaine', ' Decyl Glucoside', ' PEG-12 Dimethicone', ' Caprylyl Glycol', ' PEG150 Distearate', ' Glyceryl Laurate', ' Menthol', ' Disodium EDTA', ' Polyquaternium-10', ' Propylene Glycol', ' Glycerin', ' Salvia Officinalis (Sage) Leaf Extract', ' Citric Acid', ' Sodium Chloride', ' Chamomilla Recutita (Matricaria) Flower Extract', ' Parfum (Fragrance)', ' Linalool', ' Phenoxyethanol.Daily Conditioner: Aqua/Water/Eau', ' Cetyl Alcohol', ' Dicetyldimonium Chloride', ' Propylene Glycol', ' Stearamidopropyl Dimethylamine', ' Isopropyl Alcohol', ' Ceteareth-20', ' Caprylyl Glycol', ' Menthol', ' Citric Acid', ' Panthenol', ' Mentha Piperita (Peppermint) Oil', ' Rosmarinus Officinalis (Rosemary) Leaf Extract', ' Thymus Vulgaris (Thyme) Extract', ' Quillaja Saponaria Bark Extract', ' Phenoxyethanol.Fiber: Aqua/Water/Eau', ' Lanolin Cera (Lanolin Wax) (Cire De Lanoline)', ' Cetearyl Alcohol', ' PVP', ' Tridecyl Stearate', ' Tribehenin', ' Propylene Glycol', ' Alcohol Denat.', ' Tridecyl Trimellitate', ' Ceteareth-25', ' PEG-8 Beeswax', ' PEG-40 Castor Oil', ' Dipentaerythrityl Hexacaprylate/Hexacaprate', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Triethanolamine', ' Tetrasodium EDTA', ' Parfum (Fragrance)', ' Benzyl Alcohol', ' Limonene', ' Citronellol', ' Geraniol', ' Linalool', ' Phenoxyethanol', ' Ethylparaben', ' Methylparaben', ' Caramel', ' CI 19140 (Yellow 5).Precision Shave Gel: Aqua/Water/Eau', ' Glycerin', ' Sodium Laureth Sulfate', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Triethanolamine', ' Cocamidopropyl Betaine', ' Bisabolol', ' Aloe Barbadensis Leaf Juice', ' Disodium EDTA', ' Polyquaternium-11', ' Melaleuca Alternifolia (Tea Tree) Leaf Oil', ' Farnesol', ' Tocopheryl Acetate', ' Benzophenone-4', ' Parfum (Fragrance)', ' Phenoxyethanol', ' Methylparaben', ' Ethylparaben.']"
American Crew,fathers-day-fiber-set,$26.00,"['Fiber:Aqua/Water/Eau', ' Lanolin Cera (Lanolin Wax) (Cire De Lanoline)', ' Cetearyl Alcohol', ' PVP', ' Tridecyl Stearate', ' Tribehenin', ' Propylene Glycol', ' Alcohol Denat.', ' Tridecyl Trimellitate', ' Ceteareth-25', ' PEG-8 Beeswax', ' PEG-40 Castor Oil', ' Dipentaerythrityl Hexacaprylate/Hexacaprate', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Triethanolamine', ' Tetrasodium EDTA', ' Parfum (Fragrance)', ' Benzyl Alcohol', ' Limonene', ' Citronellol', ' Geraniol', ' Linalool', ' Phenoxyethanol', ' Ethylparaben', ' Methylparaben', ' Caramel', ' CI 19140 (Yellow 5).Daily Deep Moisturizing Shampoo: Aqua/Water/Eau', ' Ammonium Lauryl Sulfate', ' Cocamidopropyl Betaine', ' Acrylates Copolymer', ' Caprylyl Glycol', ' Citric Acid', ' Decyl Glucoside', ' Disodium Edta', ' Hydroxypropyl Guar Hydroxypropyltrimonium Chloride', 'Lauryl Glucoside', ' Menthol', ' Panthenol', ' Peg-150 Distearate', ' Polyquaternium-39', ' Sodium Chloride', ' Sodium Hydroxide', ' Styrene/Acrylates Copolymer', ' Parfum (Fragrance)', ' Limonene', ' Linalool', ' Phenoxyethanol. B01133']"
American Crew,fathers-day-forming-cream-set,$26.00,"['Forming Cream: Aqua/Water/Eau', ' Petrolatum', ' Cetearyl Alcohol', ' Bis-Diglyceryl Polyacyladipate-2', ' Lanolin Cera (Lanolin Wax) (Cire De Lanoline)', ' Steareth-21', ' PVP', ' Ceteareth-25', ' Copernicia Cerifera (Carnauba) Wax (Cire De Carnauba)', ' Propylene Glycol', ' VP/VA Copolymer', ' Ozokerite', ' Paraffinum Liquidum (Mineral Oil) (Huile Minérale)', ' Diethylhexyl Malate', ' PEG- 40 Castor Oil', ' Alcohol Denat.', ' PEG-10 Soy Sterol', ' Sucrose', ' Cereus Grandiflorus (Cactus) Flower Extract', ' Glycerin', ' Parfum (Fragrance)', ' Benzyl Salicylate', ' Limonene', ' Linalool', ' Coumarin', ' Geraniol', ' BenzylBenzoate', ' Hexyl Cinnamal', ' Citral', ' Butylphenyl Methylpropional', ' Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde', ' Alpha-Isomethyl Ionone', ' Phenoxyethanol', ' Ethylparaben', ' Methylparaben.Daily Cleansing Shampoo: Aqua/Water/Eau', ' Ammonium Lauryl Sulfate', ' Disodium Cocoamphodiacetate', ' Cocamidopropyl Betaine', ' Caprylyl Glycol', ' Citric Acid', ' Disodium Edta', ' Menthol', ' Panthenol', ' Polyquaternium-10', ' Sodium Acetate', ' Sodium Chloride', ' Sodium Glycolate', ' Parfum (Fragrance)', ' Limonene', ' Phenoxyethanol. B01119']"
American Crew,fathers-day-travel-kit,$28.00,"['Fiber:Aqua/Water/Eau', ' Lanolin Cera (Lanolin Wax) (Cire De Lanoline)', ' Cetearyl Alcohol', ' PVP', ' Tridecyl Stearate', ' Tribehenin', ' Propylene Glycol', ' Alcohol Denat.', ' Tridecyl Trimellitate', ' Ceteareth-25', ' PEG-8 Beeswax', ' PEG-40 Castor Oil', ' Dipentaerythrityl Hexacaprylate/Hexacaprate', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Triethanolamine', ' Tetrasodium EDTA', ' Parfum (Fragrance)', ' Benzyl Alcohol', ' Limonene', ' Citronellol', ' Geraniol', ' Linalool', ' Phenoxyethanol', ' Ethylparaben', ' Methylparaben', ' Caramel', ' CI 19140 (Yellow 5).Daily Deep Moisturizing Shampoo: Aqua/Water/Eau', ' Ammonium Lauryl Sulfate', ' Cocamidopropyl Betaine', ' Acrylates Copolymer', ' Caprylyl Glycol', ' Citric Acid', ' Decyl Glucoside', ' Disodium Edta', ' Hydroxypropyl Guar Hydroxypropyltrimonium Chloride', 'Lauryl Glucoside', ' Menthol', ' Panthenol', ' Peg-150 Distearate', ' Polyquaternium-39', ' Sodium Chloride', ' Sodium Hydroxide', ' Styrene/Acrylates Copolymer', ' Parfum (Fragrance)', ' Limonene', ' Linalool', ' Phenoxyethanol. B01133Classic Body Wash: Aqua/Water/Eau', ' Sodium Laureth Sulfate', ' Glycerin', ' Cocamide MEA', ' Sodium Chloride', ' Cocamidopropyl Betaine', ' Caprylyl Glycol', ' Polyquaternium-10', ' Disodium EDTA', ' PEG-120 Methyl Glucose Dioleate', ' Lauryl Glucoside', ' Carthamus Tinctorius (Safflower) Seed Oil', ' Citric Acid', ' Tocopheryl Acetate', ' Mentha Piperita (Peppermint) Oil', ' Aloe Barbadensis Leaf Juice', ' Panax Ginseng Root Extract', ' Melaleuca Alternifolia (Tea Tree) Leaf Oil', ' Allantoin', ' Parfum (Fragrance)', ' Linalool', ' Phenoxyethanol', ' Benzyl Alcohol', ' Orange 4 (CI 15510)', ' Yellow 5 (CI 19140)', ' Red 4 (CI 14700)', ' Red 33 (CI 17200)', ' Blue 1 (CI 42090).Precision Shave Gel: Aqua/Water/Eau', ' Glycerin', ' Sodium Laureth Sulfate', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Triethanolamine', ' Cocamidopropyl Betaine', ' Bisabolol', ' Aloe Barbadensis Leaf Juice', ' Disodium EDTA', ' Polyquaternium-11', ' Melaleuca Alternifolia (Tea Tree) Leaf Oil', ' Farnesol', ' Tocopheryl Acetate', ' Benzophenone-4', ' Parfum (Fragrance)', ' Phenoxyethanol', ' Methylparaben', ' Ethylparaben.']"
American Crew,fiber,$19.50,"['Aqua/Water/Eau', ' Lanolin Cera (Lanolin Wax) (Cire De Lanoline)', ' Cetearyl Alcohol', ' PVP', ' Tridecyl Stearate', ' Tribehenin', ' Propylene Glycol', ' Alcohol Denat.', ' TridecylTrimellitate', ' Ceteareth-25', ' PEG-8 Beeswax', ' PEG-40 Castor Oil', ' Dipentaerythrityl Hexacaprylate/Hexacaprate', ' Acrylates/C10-30 Alkyl Acrylate Crosspolymer', ' Triethanolamine', 'Tetrasodium EDTA', ' Parfum (Fragrance)', ' Benzyl Alcohol', ' Limonene', ' Citronellol', ' Geraniol', ' Linalool', ' Phenoxyethanol', ' Ethylparaben', ' Methylparaben', ' Caramel', ' CI 19140 (Yellow 5).']"
